triplet_uuid,outlet_idx,sentence_idx,model,mean_abs_shap,top20_tokens
70c75d68-bf65-46a6-a822-15c23d77a275,1,2,biasdetector,0.03120160744352362,"““Our|-0.1959;world,””|-0.0966;said|-0.0904;plea.|-0.0810;shame|0.0543;pride...|-0.0336;Trump|-0.0306;not|-0.0303;system|0.0291;source|-0.0254;a|-0.0236;his|-0.0213;a|-0.0192;immigration|0.0187;in|-0.0160;source|-0.0151;is|-0.0049;as|-0.0046;should|-0.0045;over|0.0038"
70c75d68-bf65-46a6-a822-15c23d77a275,1,2,daroberta,0.011977569847845303,"““Our|-0.0576;shame|0.0462;said|-0.0243;source|-0.0218;not|-0.0206;should|-0.0203;immigration|0.0199;world,””|0.0161;of|0.0102;system|0.0090;a|-0.0074;a|-0.0066;the|0.0062;plea.|0.0061;source|-0.0057;over|0.0055;it|-0.0050;his|0.0046;of|0.0041;be|-0.0040"
2b95d2cf-e979-4f9c-ae27-9a5370934f23,1,0,biasdetector,0.01530002352361534,"choosing.””|-0.1158;Friday|-0.0726;chairman|-0.0512;Committee,|-0.0484;resignation|-0.0358;on|-0.0333;Afghanistan,|-0.0316;after|-0.0306;of|-0.0243;National|-0.0238;war|0.0184;of’’|0.0177;he|-0.0173;Steele,|-0.0171;at|-0.0163;Republican|-0.0138;called““|-0.0133;Obamas|0.0132;a|-0.0129;that|-0.0125"
2b95d2cf-e979-4f9c-ae27-9a5370934f23,1,0,daroberta,0.00808863171694013,"choosing.””|0.0346;called““|0.0291;Friday|-0.0275;Committee,|-0.0253;after|-0.0226;Steele,|-0.0201;Afghanistan,|-0.0181;of’’|0.0167;resignation|-0.0144;on|-0.0141;National|-0.0134;fierce|0.0118;WASHINGTON|-0.0104;Michael|-0.0102;Obamas|0.0094;chairman|-0.0087;drew|0.0081;wrong|0.0075;of|-0.0075;war|0.0072"
526cabb7-02a3-4adb-8e90-ec781c40c498,1,11,biasdetector,0.034906369957814515,"Monday|-0.1069;file|-0.0766;to|-0.0721;seeks|-0.0714;Stockman,|-0.0626;Representative|-0.0499;Steve|-0.0477;Texas,|-0.0380;Republican|-0.0346;to|-0.0338;if|0.0292;guns|0.0275;the|0.0247;of|0.0245;orders.|-0.0204;president|-0.0179;executive|-0.0146;impeachment|0.0142;articles|-0.0105;regulate|0.0089"
526cabb7-02a3-4adb-8e90-ec781c40c498,1,11,daroberta,0.01824885096047151,"file|-0.0694;threatened|0.0396;to|-0.0279;articles|0.0275;to|-0.0273;Texas,|-0.0234;Monday|-0.0229;Stockman,|-0.0219;of|0.0218;orders.|-0.0209;Steve|-0.0139;seeks|-0.0133;president|-0.0132;guns|0.0127;executive|-0.0105;regulate|-0.0103;impeachment|0.0091;Representative|-0.0091;with|-0.0080;the|0.0055"
a28a0329-0887-42dc-bd3d-3bb4f8926757,3,8,biasdetector,0.046931027364701526,complained|-0.1415;exercise.|-0.1377;Democratic|-0.1075;And|0.1042;who|0.0955;contention|-0.0765;that|-0.0599;the|-0.0536;document|-0.0486;parts|-0.0471;for|-0.0454;the|0.0367;undermines|0.0319;was|0.0312;lawmakers|-0.0300;of|-0.0286;the|-0.0286;of|0.0258;the|-0.0257;of|-0.0252
a28a0329-0887-42dc-bd3d-3bb4f8926757,3,8,daroberta,0.022474376660380744,lawmakers|-0.0935;And|0.0870;undermines|0.0860;point|-0.0484;who|-0.0273;exempting|-0.0269;reading|-0.0257;that|-0.0255;exercise.|-0.0232;for|-0.0226;Democratic|0.0219;complained|-0.0207;objective|0.0205;the|0.0129;from|-0.0112;the|0.0068;document|0.0067;of|-0.0066;contention|-0.0065;of|0.0065
86e6e27d-1440-4879-8b13-0dd2d89f7281,1,45,biasdetector,0.10385575795440845,"repeatedly|0.3840;Tlaib.|-0.2870;He|-0.1581;censured|0.1554;had|-0.1366;not|-0.1109;out|-0.0876;why|0.0523;Ms.|-0.0306;Pelosi,|-0.0148;she|-0.0123;asking|-0.0117;Ms.|-0.0099;singled|-0.0028"
86e6e27d-1440-4879-8b13-0dd2d89f7281,1,45,daroberta,0.045693873680595846,"repeatedly|0.1962;Ms.|-0.1859;Ms.|-0.0909;censured|-0.0474;Tlaib.|-0.0358;out|-0.0195;singled|0.0149;why|0.0127;she|0.0114;Pelosi,|-0.0079;asking|-0.0059;had|0.0054;not|0.0052;He|0.0006"
