level,partition,model,word,mean_abs_shap,count,category,proportion,n_selected_words
feature,shared,biasdetector,candidate,0.106594,2,Emotional/Evaluative,,
feature,shared,biasdetector,less,0.062186,1,Emotional/Evaluative,,
feature,shared,biasdetector,palatable,0.109519,1,Emotional/Evaluative,,
feature,shared,biasdetector,j,0.089806,1,Emotional/Evaluative,,
feature,shared,biasdetector,trump,0.094251,20,Emotional/Evaluative,,
feature,shared,biasdetector,bombastic,0.257845,1,Emotional/Evaluative,,
feature,shared,biasdetector,reality,0.15344,1,Emotional/Evaluative,,
feature,shared,biasdetector,star,0.075784,1,Emotional/Evaluative,,
feature,shared,biasdetector,ballparks,0.065417,1,Emotional/Evaluative,,
feature,shared,biasdetector,steady,0.062739,1,Emotional/Evaluative,,
feature,shared,biasdetector,torrent,0.115278,1,Emotional/Evaluative,,
feature,shared,biasdetector,worse,0.090136,1,Emotional/Evaluative,,
feature,shared,biasdetector,trash,0.14557,1,Emotional/Evaluative,,
feature,shared,biasdetector,tweet,0.06445,1,Emotional/Evaluative,,
feature,shared,biasdetector,wednesday,0.087749,2,Function/Temporal Words,,
feature,shared,biasdetector,claimed,0.175842,5,Framing/Reporting Verbs,,
feature,shared,biasdetector,falsely,0.440058,2,Emotional/Evaluative,,
feature,shared,biasdetector,wall,0.066934,4,Emotional/Evaluative,,
feature,shared,biasdetector,““we,0.179199,2,Emotional/Evaluative,,
feature,shared,biasdetector,refuse,0.349296,1,Emotional/Evaluative,,
feature,shared,biasdetector,politics,0.076326,4,Emotional/Evaluative,,
feature,shared,biasdetector,nominees,0.154759,1,Emotional/Evaluative,,
feature,shared,biasdetector,““our,0.073175,1,Emotional/Evaluative,,
feature,shared,biasdetector,cheap,0.122925,1,Emotional/Evaluative,,
feature,shared,biasdetector,rhetoric,0.128587,3,Emotional/Evaluative,,
feature,shared,biasdetector,left.””,0.249431,1,Emotional/Evaluative,,
feature,shared,biasdetector,progressivism,0.21272,2,Emotional/Evaluative,,
feature,shared,biasdetector,declared,0.117342,1,Emotional/Evaluative,,
feature,shared,biasdetector,eating,0.223488,1,Emotional/Evaluative,,
