triplet_uuid,outlet_idx,sentence_idx,model,mean_abs_shap,top20_tokens
13792511-5142-449f-8d3e-d77d790f65ec,2,18,biasdetector,0.08478703839600915,"bombastic|0.2578;candidate|-0.1925;reality|0.1534;palatable:|0.1095;Trump,|0.1057;J.|-0.0898;star.|-0.0758;less|0.0622;Donald|0.0537;The|0.0479;turned|0.0399;the|0.0386;developer|-0.0293;only|-0.0146;television|-0.0010"
13792511-5142-449f-8d3e-d77d790f65ec,2,18,daroberta,0.0685035144675034,"bombastic|0.3264;reality|0.1152;candidate|-0.1035;palatable:|0.1026;television|0.0996;the|0.0582;Trump,|0.0543;J.|-0.0507;less|0.0413;star.|-0.0200;turned|0.0175;The|0.0166;developer|0.0162;only|-0.0050;Donald|0.0005"
58f414e5-a122-49f5-819e-512d91069da5,2,48,biasdetector,0.026317170824658013,"trash|0.1456;torrent|0.1153;worse|0.0901;ballparks|-0.0654;steady|0.0627;middling|0.0595;standard,|-0.0562;of|0.0498;professional|0.0459;talk|0.0395;produced|0.0317;1909,|-0.0242;evening|-0.0232;the’’|-0.0215;fare|0.0174;the|-0.0173;a|0.0155;did|-0.0136;and|0.0135;since|-0.0128"
58f414e5-a122-49f5-819e-512d91069da5,2,48,daroberta,0.019374888423796775,"torrent|0.0863;trash|0.0847;of|0.0727;steady|0.0693;talk|0.0644;middling|0.0426;and|0.0425;worse|0.0394;a|0.0243;produced|0.0214;baseball,|0.0207;professional|0.0204;more|0.0191;than|0.0171;injury.|0.0136;commonplace|0.0129;has,|0.0122;occasional|0.0121;fare|0.0103;the’’|0.0089"
0d10341a-9dba-4374-a524-814c300d1611,3,26,biasdetector,0.030467789740945606,"falsely,|0.2651;claimed,|0.2363;Trump|0.1500;Wednesday|-0.0657;tweet|-0.0645;wall,|-0.0454;thanks|0.0414;deal,|-0.0406;morning,|-0.0361;In|-0.0298;a|-0.0237;paying|0.0205;trade|-0.0193;renegotiated|-0.0183;was|-0.0181;already|-0.0177;Mexico|-0.0171;that|0.0156;a|-0.0147;to|-0.0101"
0d10341a-9dba-4374-a524-814c300d1611,3,26,daroberta,0.02112152719418004,"claimed,|0.3090;falsely,|0.1771;Trump|0.1398;anyway.|0.0239;morning,|0.0211;Wednesday|-0.0172;renegotiated|-0.0128;dollars|0.0127;but|0.0106;newly|0.0094;already|0.0082;largely|0.0081;that|0.0075;wall,|-0.0059;needed|-0.0058;tweet|-0.0056;a|0.0056;billions|0.0048;In|-0.0042;of|-0.0041"
8385a996-1afc-4778-a06d-7070a8f19e27,1,23,biasdetector,0.06874200206029375,refuse|0.3493;party|0.1675;politics|0.1657;nominees.|-0.1548;““We|-0.1408;of|0.0999;one|0.0383;have|-0.0330;hearings|-0.0307;president|-0.0304;and|-0.0218;watched|-0.0162;his|0.0143;the|-0.0126;the|-0.0117;to|-0.0084;based|-0.0074;potential|-0.0017;hold|-0.0017
8385a996-1afc-4778-a06d-7070a8f19e27,1,23,daroberta,0.03225053227004738,party|0.1079;politics|0.0978;nominees.|-0.0781;refuse|0.0656;of|0.0652;his|0.0433;the|-0.0320;one|0.0246;watched|-0.0180;““We|0.0180;potential|0.0165;and|0.0127;based|-0.0115;the|0.0063;to|-0.0050;hold|0.0039;president|-0.0037;have|-0.0019;hearings|0.0005
ee05c9b3-529c-4268-ad72-19bd34f7197e,1,6,biasdetector,0.036142443818265965,"left.””|-0.2494;cheap|0.1229;of|0.1061;““Our|-0.0732;political|0.0716;rhetoric|0.0706;that,|-0.0469;was|-0.0362;from|-0.0280;away|-0.0258;founding|-0.0252;of|0.0229;right|0.0229;and|0.0199;people|-0.0197;philosophers,|0.0171;and|0.0161;built|0.0146;we|0.0119;need|0.0119"
ee05c9b3-529c-4268-ad72-19bd34f7197e,1,6,daroberta,0.023019785803949665,"cheap|0.1145;of|0.1126;political|0.0891;rhetoric|0.0885;left.””|-0.0440;““Our|-0.0344;right|0.0337;of|0.0333;and|0.0228;kind|0.0179;this|0.0159;and|-0.0093;was|-0.0076;philosophers,|0.0071;founding|-0.0058;built|-0.0056;we|-0.0052;need|-0.0052;people|-0.0052;were|0.0051"
6f95dcb9-e960-45ac-8c0e-91b85724c909,3,4,biasdetector,0.10766588979666787,"""Progressivism,""|0.2905;eating|0.2235;declared,""|0.1173;Constitution.""|-0.0379;the|0.0348;he|-0.0299;is|0.0198"
6f95dcb9-e960-45ac-8c0e-91b85724c909,3,4,daroberta,0.10433312585311276,"eating|0.2255;""Progressivism,""|0.1795;he|0.0969;Constitution.""|0.0938;the|0.0656;declared,""|-0.0496;is|0.0194"
